2022-06-14 11:46:04,755 INFO n.d.i.BusDAO [main] Bus was found by idBus{id=1, number='C111', maxCountOfPassengers=70, startTime='05.00', endTime='20.00'}
2022-06-14 11:46:06,272 INFO n.d.i.BusDAO [main] Bus was found by idBus{id=4, number='I774', maxCountOfPassengers=40, startTime='00.00', endTime='24.00'}
2022-06-14 11:46:06,402 INFO n.d.i.BusDAO [main] Bus was found by idBus{id=4, number='I774', maxCountOfPassengers=40, startTime='00.00', endTime='24.00'}
2022-06-14 11:46:06,522 INFO n.d.i.BusDAO [main] Bus was found by idBus{id=4, number='I774', maxCountOfPassengers=40, startTime='00.00', endTime='24.00'}
2022-06-14 11:46:06,642 INFO n.d.i.BusDAO [main] Bus was found by idBus{id=4, number='I774', maxCountOfPassengers=40, startTime='00.00', endTime='24.00'}
2022-06-14 11:46:06,762 INFO n.d.i.BusDAO [main] Bus was found by idBus{id=5, number='I999', maxCountOfPassengers=100, startTime='00.00', endTime='24.00'}
2022-06-14 11:46:06,892 INFO n.d.i.BusDAO [main] Bus was found by idBus{id=5, number='I999', maxCountOfPassengers=100, startTime='00.00', endTime='24.00'}
2022-06-14 11:46:07,012 INFO n.d.i.BusDAO [main] Bus was found by idBus{id=5, number='I999', maxCountOfPassengers=100, startTime='00.00', endTime='24.00'}
2022-06-14 11:46:07,132 INFO n.d.i.BusDAO [main] Bus was found by idBus{id=5, number='I999', maxCountOfPassengers=100, startTime='00.00', endTime='24.00'}
2022-06-14 11:46:07,252 INFO n.d.i.BusDAO [main] Bus was found by idBus{id=5, number='I999', maxCountOfPassengers=100, startTime='00.00', endTime='24.00'}
2022-06-14 11:46:07,382 INFO n.d.i.BusDAO [main] Bus was found by idBus{id=5, number='I999', maxCountOfPassengers=100, startTime='00.00', endTime='24.00'}
2022-06-14 11:46:07,512 INFO n.d.i.BusDAO [main] Bus was found by idBus{id=5, number='I999', maxCountOfPassengers=100, startTime='00.00', endTime='24.00'}
2022-06-14 11:46:07,632 INFO n.d.i.BusDAO [main] Bus was found by idBus{id=5, number='I999', maxCountOfPassengers=100, startTime='00.00', endTime='24.00'}
2022-06-14 11:46:07,763 INFO n.d.i.BusDAO [main] Bus was found by idBus{id=5, number='I999', maxCountOfPassengers=100, startTime='00.00', endTime='24.00'}
2022-06-14 11:46:07,883 INFO n.d.i.BusDAO [main] Bus was found by idBus{id=5, number='I999', maxCountOfPassengers=100, startTime='00.00', endTime='24.00'}
2022-06-14 11:46:08,003 INFO n.d.i.BusDAO [main] Bus was found by idBus{id=5, number='I999', maxCountOfPassengers=100, startTime='00.00', endTime='24.00'}
2022-06-14 11:46:08,133 INFO n.d.i.BusDAO [main] Bus was found by idBus{id=5, number='I999', maxCountOfPassengers=100, startTime='00.00', endTime='24.00'}
2022-06-14 11:46:08,253 INFO n.d.i.BusDAO [main] Bus was found by idBus{id=5, number='I999', maxCountOfPassengers=100, startTime='00.00', endTime='24.00'}
2022-06-14 11:46:08,383 INFO n.d.i.BusDAO [main] Bus was found by idBus{id=5, number='I999', maxCountOfPassengers=100, startTime='00.00', endTime='24.00'}
2022-06-14 11:46:08,503 INFO n.d.i.BusDAO [main] Bus was found by idBus{id=5, number='I999', maxCountOfPassengers=100, startTime='00.00', endTime='24.00'}
2022-06-14 11:46:08,633 INFO n.d.i.BusDAO [main] Bus was found by idBus{id=5, number='I999', maxCountOfPassengers=100, startTime='00.00', endTime='24.00'}
2022-06-14 11:46:08,753 INFO n.d.i.BusDAO [main] Bus was found by idBus{id=5, number='I999', maxCountOfPassengers=100, startTime='00.00', endTime='24.00'}
2022-06-14 11:46:08,883 INFO n.d.i.BusDAO [main] Bus was found by idBus{id=5, number='I999', maxCountOfPassengers=100, startTime='00.00', endTime='24.00'}
2022-06-14 11:46:09,003 INFO n.d.i.BusDAO [main] Bus was found by idBus{id=5, number='I999', maxCountOfPassengers=100, startTime='00.00', endTime='24.00'}
